Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Julio Jones,ATL,WR,3,GB,10.08,7,70,97,1,0,9.7,13.9,0,0,0,0,0,0,19.2,19.2
1,Antonio Brown,PIT,WR,2,KC,13.04,8,61.5,92,1,0,7.1,11.5,0,0,0,0,0,0,19.2,19.2
1,Julio Jones,ATL,WR,4,NE,11.52,8,66.7,92,1,0,7.7,11.5,0,0,0,0,0,0,19.2,19.2
4,Julio Jones,ATL,WR,2,SEA,11.52,8,66.7,91,1,0,7.6,11.4,0,0,0,0,0,0,19.1,19.1
5,Antonio Brown,PIT,WR,3,NE,11.41,7,63.6,92,1,0,8.4,13.1,0,0,0,0,0,0,18.7,18.7
6,Antonio Brown,PIT,WR,1,MIA,11.41,7,63.6,90,1,0,8.2,12.9,0,0,0,0,0,0,18.5,18.5
7,Odell Beckham Jr,NYG,WR,1,GB,11.69,7,58.3,88,1,0,7.3,12.6,0,0,0,0,0,0,18.3,18.3
8,Jordy Nelson,GB,WR,1,NYG,10.44,6,60,78,1,0,7.8,13,0,0,0,0,0,0,16.8,16.8
9,Doug Baldwin,SEA,WR,1,DET,9.48,6,66.7,74,1,0,8.2,12.3,0,0,0,0,0,0,16.4,16.4
10,Randall Cobb,GB,WR,2,DAL,10.32,6,60,72,1,0,7.2,12,0,1,0,0,0,0,16.3,16.3
11,Davante Adams,GB,WR,3,ATL,7.98,6,75,71,1,0,8.9,11.8,0,0,0,0,0,0,16.1,16.1
12,Doug Baldwin,SEA,WR,2,ATL,9.48,6,66.7,67,1,0,7.4,11.2,0,0,0,0,0,0,15.7,15.7
13,Randall Cobb,GB,WR,3,ATL,10.32,6,60,62,1,0,6.2,10.3,0,1,0,0,0,0,15.3,15.3
14,Davante Adams,GB,WR,2,DAL,6.65,5,71.4,64,1,0,9.1,12.8,0,0,0,0,0,0,14.9,14.9
15,Dez Bryant,DAL,WR,2,GB,6.08,4,66.7,68,1,0,11.3,17,0,0,0,0,0,0,14.8,14.8
16,Julian Edelman,NE,WR,3,PIT,14.31,9,64.3,89,0,0,6.4,9.9,1,6,6,0,0,0,14,14
17,Julian Edelman,NE,WR,4,ATL,12.72,8,61.5,82,0,0,6.3,10.2,1.45,7,7,0,0,0,12.9,12.9
18,Julian Edelman,NE,WR,2,HOU,14.31,9,64.3,80,0,0,5.7,8.9,0,0,0,0,0,0,12.5,12.5
19,Chris Hogan,NE,WR,4,ATL,8.52,6,66.7,78,0,0,8.7,13,0,0,0,0,0,0,10.8,10.8
20,DeAndre Hopkins,HOU,WR,2,NE,10.14,6,60,69,0,0,6.9,11.5,0,0,0,0,0,0,9.9,9.9
21,Golden Tate,DET,WR,1,SEA,9.6,6,60,65,0,0,6.5,10.8,0,1,0,0,0,0,9.6,9.6
22,Jarvis Landry,MIA,WR,1,PIT,10.68,6,54.5,63,0,0,5.7,10.5,0,2,0,0,0,0,9.5,9.5
